"event_time"	"EveryDate"	"repeatID"	"Switch"
2019-01-08 00:00:00	2019-01-08	1	0
2019-01-08 00:02:00	2019-01-08	2	0
2019-01-08 00:04:00	2019-01-08	3	0
2019-01-08 00:06:00	2019-01-08	4	0
2019-01-08 00:08:00	2019-01-08	5	0
2019-01-08 00:10:00	2019-01-08	6	0
2019-01-08 00:12:00	2019-01-08	7	0
2019-01-08 00:14:00	2019-01-08	8	0
2019-01-08 00:16:00	2019-01-08	9	0
2019-01-08 00:18:00	2019-01-08	10	0
2019-01-08 00:20:00	2019-01-08	11	0
2019-01-08 00:22:00	2019-01-08	12	0
2019-01-08 00:24:00	2019-01-08	13	0
2019-01-08 00:26:00	2019-01-08	14	0
2019-01-08 00:28:00	2019-01-08	15	0
2019-01-08 00:30:00	2019-01-08	16	0
2019-01-08 00:32:00	2019-01-08	17	0
2019-01-08 00:34:00	2019-01-08	18	0
2019-01-08 00:36:00	2019-01-08	19	0
2019-01-08 00:38:00	2019-01-08	20	0
2019-01-08 00:40:00	2019-01-08	21	0
2019-01-08 00:42:00	2019-01-08	22	0
2019-01-08 00:44:00	2019-01-08	23	0
2019-01-08 00:46:00	2019-01-08	24	0
2019-01-08 00:48:00	2019-01-08	25	0
2019-01-08 00:50:00	2019-01-08	26	0
2019-01-08 00:52:00	2019-01-08	27	0
2019-01-08 00:54:00	2019-01-08	28	0
2019-01-08 00:56:00	2019-01-08	29	0
2019-01-08 00:58:00	2019-01-08	30	0
2019-01-08 01:00:00	2019-01-08	31	0
2019-01-08 01:02:00	2019-01-08	32	0
2019-01-08 01:04:00	2019-01-08	33	0
2019-01-08 01:06:00	2019-01-08	34	0
2019-01-08 01:08:00	2019-01-08	35	0
2019-01-08 01:10:00	2019-01-08	36	0
2019-01-08 01:12:00	2019-01-08	37	0
2019-01-08 01:14:00	2019-01-08	38	0
2019-01-08 01:16:00	2019-01-08	39	0
2019-01-08 01:18:00	2019-01-08	40	0
2019-01-08 01:20:00	2019-01-08	41	0
2019-01-08 01:22:00	2019-01-08	42	0
2019-01-08 01:24:00	2019-01-08	43	0
2019-01-08 01:26:00	2019-01-08	44	0
2019-01-08 01:28:00	2019-01-08	45	0
2019-01-08 01:30:00	2019-01-08	46	0
2019-01-08 01:32:00	2019-01-08	47	0
2019-01-08 01:34:00	2019-01-08	48	0
2019-01-08 01:36:00	2019-01-08	49	0
2019-01-08 01:38:00	2019-01-08	50	0
2019-01-08 01:40:00	2019-01-08	51	0
2019-01-08 01:42:00	2019-01-08	52	0
2019-01-08 01:44:00	2019-01-08	53	0
2019-01-08 01:46:00	2019-01-08	54	0
2019-01-08 01:48:00	2019-01-08	55	0
2019-01-08 01:50:00	2019-01-08	56	0
2019-01-08 01:52:00	2019-01-08	57	0
2019-01-08 01:54:00	2019-01-08	58	0
2019-01-08 01:56:00	2019-01-08	59	0
2019-01-08 01:58:00	2019-01-08	60	0
2019-01-08 02:00:00	2019-01-08	61	0
2019-01-08 02:02:00	2019-01-08	62	0
2019-01-08 02:04:00	2019-01-08	63	0
2019-01-08 02:06:00	2019-01-08	64	0
2019-01-08 02:08:00	2019-01-08	65	0
2019-01-08 02:10:00	2019-01-08	66	0
2019-01-08 02:12:00	2019-01-08	67	0
2019-01-08 02:14:00	2019-01-08	68	0
2019-01-08 02:16:00	2019-01-08	69	0
2019-01-08 02:18:00	2019-01-08	70	0
2019-01-08 02:20:00	2019-01-08	71	0
2019-01-08 02:22:00	2019-01-08	72	0
2019-01-08 02:24:00	2019-01-08	73	0
2019-01-08 02:26:00	2019-01-08	74	0
2019-01-08 02:28:00	2019-01-08	75	0
2019-01-08 02:30:00	2019-01-08	76	0
2019-01-08 02:32:00	2019-01-08	77	0
2019-01-08 02:34:00	2019-01-08	78	0
2019-01-08 02:36:00	2019-01-08	79	0
2019-01-08 02:38:00	2019-01-08	80	0
2019-01-08 02:40:00	2019-01-08	81	0
2019-01-08 02:42:00	2019-01-08	82	0
2019-01-08 02:44:00	2019-01-08	83	0
2019-01-08 02:46:00	2019-01-08	84	0
2019-01-08 02:48:00	2019-01-08	85	0
2019-01-08 02:50:00	2019-01-08	86	0
2019-01-08 02:52:00	2019-01-08	87	0
2019-01-08 02:54:00	2019-01-08	88	0
2019-01-08 02:56:00	2019-01-08	89	0
2019-01-08 02:58:00	2019-01-08	90	0
2019-01-08 03:00:00	2019-01-08	91	0
2019-01-08 03:02:00	2019-01-08	92	0
2019-01-08 03:04:00	2019-01-08	93	0
2019-01-08 03:06:00	2019-01-08	94	0
2019-01-08 03:08:00	2019-01-08	95	0
2019-01-08 03:10:00	2019-01-08	96	0
2019-01-08 03:12:00	2019-01-08	97	0
2019-01-08 03:14:00	2019-01-08	98	0
2019-01-08 03:16:00	2019-01-08	99	0
2019-01-08 03:18:00	2019-01-08	100	0
2019-01-08 03:20:00	2019-01-08	101	0
2019-01-08 03:22:00	2019-01-08	102	0
2019-01-08 03:24:00	2019-01-08	103	0
2019-01-08 03:26:00	2019-01-08	104	0
2019-01-08 03:28:00	2019-01-08	105	0
2019-01-08 03:30:00	2019-01-08	106	0
2019-01-08 03:32:00	2019-01-08	107	0
2019-01-08 03:34:00	2019-01-08	108	0
2019-01-08 03:36:00	2019-01-08	109	0
2019-01-08 03:38:00	2019-01-08	110	0
2019-01-08 03:40:00	2019-01-08	111	0
2019-01-08 03:42:00	2019-01-08	112	0
2019-01-08 03:44:00	2019-01-08	113	0
2019-01-08 03:46:00	2019-01-08	114	0
2019-01-08 03:48:00	2019-01-08	115	0
2019-01-08 03:50:00	2019-01-08	116	0
2019-01-08 03:52:00	2019-01-08	117	0
2019-01-08 03:54:00	2019-01-08	118	0
2019-01-08 03:56:00	2019-01-08	119	0
2019-01-08 03:58:00	2019-01-08	120	0
2019-01-08 04:00:00	2019-01-08	121	0
2019-01-08 04:02:00	2019-01-08	122	0
2019-01-08 04:04:00	2019-01-08	123	0
2019-01-08 04:06:00	2019-01-08	124	0
2019-01-08 04:08:00	2019-01-08	125	0
2019-01-08 04:10:00	2019-01-08	126	0
2019-01-08 04:12:00	2019-01-08	127	0
2019-01-08 04:14:00	2019-01-08	128	0
2019-01-08 04:16:00	2019-01-08	129	0
2019-01-08 04:18:00	2019-01-08	130	0
2019-01-08 04:20:00	2019-01-08	131	0
2019-01-08 04:22:00	2019-01-08	132	0
2019-01-08 04:24:00	2019-01-08	133	0
2019-01-08 04:26:00	2019-01-08	134	0
2019-01-08 04:28:00	2019-01-08	135	0
2019-01-08 04:30:00	2019-01-08	136	0
2019-01-08 04:32:00	2019-01-08	137	0
2019-01-08 04:34:00	2019-01-08	138	0
2019-01-08 04:36:00	2019-01-08	139	0
2019-01-08 04:38:00	2019-01-08	140	0
2019-01-08 04:40:00	2019-01-08	141	0
2019-01-08 04:42:00	2019-01-08	142	0
2019-01-08 04:44:00	2019-01-08	143	0
2019-01-08 04:46:00	2019-01-08	144	0
2019-01-08 04:48:00	2019-01-08	145	0
2019-01-08 04:50:00	2019-01-08	146	0
